Reference,Source,Element,Process,Sink,Flux,Flux Unit,Flux converted,Flux converted unit
"Bennett, E. M., Carpenter, S. R. & Caraco, N. F. 2001 Human impact on erodable phosphorus and eutrophication: a global perspective. BioScience 51, 227. (doi:10.1641/0006-3568(2001)051[0227:HIOEPA]2.0.CO;2)",Land,P,Natural,Freshwater,8,Tg year^-1,8,x 10^12 g year^-1
"Bennett, E. M., Carpenter, S. R. & Caraco, N. F. 2001 Human impact on erodable phosphorus and eutrophication: a global perspective. BioScience 51, 227. (doi:10.1641/0006-3568(2001)051[0227:HIOEPA]2.0.CO;2)",Land,P,Anthropogenic,Freshwater,14,Tg year^-1,14,x 10^12 g year^-1
"Bennett, E. M., Carpenter, S. R. & Caraco, N. F. 2001 Human impact on erodable phosphorus and eutrophication: a global perspective. BioScience 51, 227. (doi:10.1641/0006-3568(2001)051[0227:HIOEPA]2.0.CO;2)",Freshwater,P,Natural,Oceans,8,Tg year^-1,8,x 10^12 g year^-1
"Bennett, E. M., Carpenter, S. R. & Caraco, N. F. 2001 Human impact on erodable phosphorus and eutrophication: a global perspective. BioScience 51, 227. (doi:10.1641/0006-3568(2001)051[0227:HIOEPA]2.0.CO;2)",Freshwater,P,Anthropogenic,Oceans,14,Tg year^-1,14,x 10^12 g year^-1
"Mahowald, N. et al. 2008 Global distribution of atmospheric phosphorus sources, concentrations and deposition rates, and anthropogenic impacts. Global Biogeochemical Cycles 22, n/a_n/a. (doi:10.1029/2008GB003240)",Atmosphere,N,Natural,Oceans,0.5301,Tg year^-1,0.5301,x 10^12 g year^-1
"Mahowald, N. et al. 2008 Global distribution of atmospheric phosphorus sources, concentrations and deposition rates, and anthropogenic impacts. Global Biogeochemical Cycles 22, n/a_n/a. (doi:10.1029/2008GB003240)",Atmosphere,N,Anthropogenic,Oceans,0.0279,Tg year^-1,0.0279,x 10^12 g year^-1
"Mahowald, N. et al. 2008 Global distribution of atmospheric phosphorus sources, concentrations and deposition rates, and anthropogenic impacts. Global Biogeochemical Cycles 22, n/a_n/a. (doi:10.1029/2008GB003240)",Atmosphere,N,Natural,Land,0.7904,Tg year^-1,0.7904,x 10^12 g year^-1
"Mahowald, N. et al. 2008 Global distribution of atmospheric phosphorus sources, concentrations and deposition rates, and anthropogenic impacts. Global Biogeochemical Cycles 22, n/a_n/a. (doi:10.1029/2008GB003240)",Atmosphere,N,Anthropogenic,Land,0.0416,Tg year^-1,0.0416,x 10^12 g year^-1
"Klee, R. J. & Graedel, T. E. 2004 ELEMENTAL CYCLES: A Status Report on Human or Natural Dominance. Annual Review of Environment and Resources 29, 69_107. (doi:10.1146/annurev.energy.29.042203.104034)",Mineral reserves,Mg,Anthropogenic,Atmosphere,3,Tg year^-1,3,x 10^12 g year^-1
"Klee, R. J. & Graedel, T. E. 2004 ELEMENTAL CYCLES: A Status Report on Human or Natural Dominance. Annual Review of Environment and Resources 29, 69_107. (doi:10.1146/annurev.energy.29.042203.104034)",Oceans,Mg,Natural,Atmosphere,460,Tg year^-1,460,x 10^12 g year^-1
"Klee, R. J. & Graedel, T. E. 2004 ELEMENTAL CYCLES: A Status Report on Human or Natural Dominance. Annual Review of Environment and Resources 29, 69_107. (doi:10.1146/annurev.energy.29.042203.104034)",Land,Mg,Natural,Freshwater,20,Tg year^-1,20,x 10^12 g year^-1
"Klee, R. J. & Graedel, T. E. 2004 ELEMENTAL CYCLES: A Status Report on Human or Natural Dominance. Annual Review of Environment and Resources 29, 69_107. (doi:10.1146/annurev.energy.29.042203.104034)",Freshwater,Mg,Natural,Oceans,20,Tg year^-1,20,x 10^12 g year^-1
"Klee, R. J. & Graedel, T. E. 2004 ELEMENTAL CYCLES: A Status Report on Human or Natural Dominance. Annual Review of Environment and Resources 29, 69_107. (doi:10.1146/annurev.energy.29.042203.104034)",Mineral reserves,Mg,Anthropogenic,Land,3,Tg year^-1,3,x 10^12 g year^-1
"Tappin, a. D. 2002 An Examination of the Fluxes of Nitrogen and Phosphorus in Temperate and Tropical Estuaries: Current Estimates and Uncertainties. Estuarine, Coastal and Shelf Science 55, 885_901. (doi:10.1006/ecss.2002.1034)",Land,P,Natural,Freshwater,8.8,Mt year^-1,8.8,x 10^12 g year^-1
"Tappin, a. D. 2002 An Examination of the Fluxes of Nitrogen and Phosphorus in Temperate and Tropical Estuaries: Current Estimates and Uncertainties. Estuarine, Coastal and Shelf Science 55, 885_901. (doi:10.1006/ecss.2002.1034)",Freshwater,P,Natural,Oceans,8.8,Mt year^-1,8.8,x 10^12 g year^-1
"Tappin, a. D. 2002 An Examination of the Fluxes of Nitrogen and Phosphorus in Temperate and Tropical Estuaries: Current Estimates and Uncertainties. Estuarine, Coastal and Shelf Science 55, 885_901. (doi:10.1006/ecss.2002.1034)",Land,P,Anthropogenic,Freshwater,13.2,Mt year^-1,13.2,x 10^12 g year^-1
"Tappin, a. D. 2002 An Examination of the Fluxes of Nitrogen and Phosphorus in Temperate and Tropical Estuaries: Current Estimates and Uncertainties. Estuarine, Coastal and Shelf Science 55, 885_901. (doi:10.1006/ecss.2002.1034)",Freshwater,P,Anthropogenic,Oceans,13.2,Mt year^-1,13.2,x 10^12 g year^-1
"Carpenter, S. R. & Bennett, E. M. 2011 Reconsideration of the planetary boundary for phosphorus. Environmental Research Letters 6, 014009. (doi:10.1088/1748-9326/6/1/014009)",Mineral reserves,P,Anthropogenic,Land,22.6,Tg year^-1,22.6,x 10^12 g year^-1
"Carpenter, S. R. & Bennett, E. M. 2011 Reconsideration of the planetary boundary for phosphorus. Environmental Research Letters 6, 014009. (doi:10.1088/1748-9326/6/1/014009)",Mineral reserves,P,Natural,Land,15,Tg year^-1,15,x 10^12 g year^-1
"Carpenter, S. R. & Bennett, E. M. 2011 Reconsideration of the planetary boundary for phosphorus. Environmental Research Letters 6, 014009. (doi:10.1088/1748-9326/6/1/014009)",Land,P,Natural,Freshwater,22,Tg year^-1,22,x 10^12 g year^-1
"Carpenter, S. R. & Bennett, E. M. 2011 Reconsideration of the planetary boundary for phosphorus. Environmental Research Letters 6, 014009. (doi:10.1088/1748-9326/6/1/014009)",Freshwater,P,Natural,Oceans,22,Tg year^-1,22,x 10^12 g year^-1
"IPCC & Press, C. U. 2007 Climate Change 2007 - The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Agenda. , 996. ",Mineral reserves,C,Anthropogenic,Atmosphere,6.4,Gt year^-1,6400,x 10^12 g year^-1
"IPCC & Press, C. U. 2007 Climate Change 2007 - The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Agenda. , 996. ",Atmosphere,C,Anthropogenic,Land,1,Gt year^-1,1000,x 10^12 g year^-1
"IPCC & Press, C. U. 2007 Climate Change 2007 - The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Agenda. , 996. ",Atmosphere,C,Anthropogenic,Oceans,2.2,Gt year^-1,2200,x 10^12 g year^-1
"IPCC & Press, C. U. 2007 Climate Change 2007 - The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Agenda. , 996. ",Mineral reserves,C,Natural,Freshwater,0.4,Gt year^-1,400,x 10^12 g year^-1
"IPCC & Press, C. U. 2007 Climate Change 2007 - The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Agenda. , 996. ",Land,C,Natural,Freshwater,0.4,Gt year^-1,400,x 10^12 g year^-1
"IPCC & Press, C. U. 2007 Climate Change 2007 - The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Agenda. , 996. ",Freshwater,C,Natural,Oceans,0.8,Gt year^-1,800,x 10^12 g year^-1
"IPCC & Press, C. U. 2007 Climate Change 2007 - The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Agenda. , 996. ",Atmosphere,C,Natural,Oceans,0.6,Gt year^-1,600,x 10^12 g year^-1
"IPCC & Press, C. U. 2007 Climate Change 2007 - The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Agenda. , 996. ",Atmosphere,C,Natural,Land,0.4,Gt year^-1,400,x 10^12 g year^-1
"Baturin, G. N. 2003 Phosphorus Cycle in the Ocean. 38, 101_119. ",Land,P,Anthropogenic,Freshwater,13.6,Mt year^-1,13.6,x 10^12 g year^-1
"Baturin, G. N. 2003 Phosphorus Cycle in the Ocean. 38, 101_119. ",Land,P,Natural,Freshwater,15.8,Mt year^-1,15.8,x 10^12 g year^-1
"Baturin, G. N. 2003 Phosphorus Cycle in the Ocean. 38, 101_119. ",Freshwater,P,Anthropogenic,Oceans,13.6,Mt year^-1,13.6,x 10^12 g year^-1
"Baturin, G. N. 2003 Phosphorus Cycle in the Ocean. 38, 101_119. ",Freshwater,P,Natural,Oceans,15.8,Mt year^-1,15.8,x 10^12 g year^-1
"Baturin, G. N. 2003 Phosphorus Cycle in the Ocean. 38, 101_119. ",Land,P,Anthropogenic,Oceans,13.6,Mt year^-1,13.6,x 10^12 g year^-1
"Baturin, G. N. 2003 Phosphorus Cycle in the Ocean. 38, 101_119. ",Land,P,Natural,Oceans,17.8,Mt year^-1,17.8,x 10^12 g year^-1
"Tranvik, L. J. et al. 2009 Lakes and reservoirs as regulators of carbon cycling and climate. 54, 2298_2314. ",Freshwater,C,Natural,Atmosphere,0.53,Tg year^-1,530,x 10^12 g year^-1
"Tranvik, L. J. et al. 2009 Lakes and reservoirs as regulators of carbon cycling and climate. 54, 2298_2314. ",Freshwater,C,Natural,Oceans,0.9,Tg year^-1,900,x 10^12 g year^-1
"Galloway, J. & Schlesinger, W. 1995 Nitrogen fixation: Anthropogenic enhancement-environmental response. Global ƒ 9, 235_252. ",,N,,,,,,
"Libes, S. 2009 Introduction to marine biogeochemistry. [cited 2013 Jun. 6]. ",,N,,,,,,
"Libes, S. 2009 Introduction to marine biogeochemistry. [cited 2013 Jun. 6]. ",,C,,,,,,
"Libes, S. 2009 Introduction to marine biogeochemistry. [cited 2013 Jun. 6]. ",,P,,,,,,
