query,hit,identity,count
"98-SSU::IP4HKJN02HE854 rank=0493637 x=2927.5 y=154.0 length=715","Trichosporon sp -I97.84 Q707"
"98-SSU::IP4HKJN02HE854 rank=0493637 x=2927.5 y=154.0 length=715","Trichosporon porosum -I97.84 Q707"
"98-SSU::IP4HKJN02HE854 rank=0493637 x=2927.5 y=154.0 length=715","Bullera nakhonratchasimensis -I96.91 Q707"
"98-SSU::IP4HKJN02HE854 rank=0493637 x=2927.5 y=154.0 length=715","Trichosporon cutaneum -I96.91 Q707"
"98-SSU::IP4HKJN02HE854 rank=0493637 x=2927.5 y=154.0 length=715","Bullera nakhonratchasimensis -I96.91 Q707"
"98-SSU::IP4HKJN02JK5PI rank=0189721 x=3814.0 y=1684.5 length=686","Trichosporon sp -I98.50 Q668"
"98-SSU::IP4HKJN02JK5PI rank=0189721 x=3814.0 y=1684.5 length=686","Trichosporon porosum -I98.50 Q668"
"98-SSU::IP4HKJN02JK5PI rank=0189721 x=3814.0 y=1684.5 length=686","Bullera nakhonratchasimensis -I97.60 Q668"
"98-SSU::IP4HKJN02JK5PI rank=0189721 x=3814.0 y=1684.5 length=686","Trichosporon cutaneum -I97.60 Q668"
"98-SSU::IP4HKJN02JK5PI rank=0189721 x=3814.0 y=1684.5 length=686","Bullera nakhonratchasimensis -I97.60 Q668"
"98-SSU::IP4HKJN02HAVFQ rank=0065864 x=2877.0 y=532.5 length=675","Trichosporon sp -I98.20 Q667"
"98-SSU::IP4HKJN02HAVFQ rank=0065864 x=2877.0 y=532.5 length=675","Trichosporon porosum -I98.20 Q667"
"98-SSU::IP4HKJN02HAVFQ rank=0065864 x=2877.0 y=532.5 length=675","Bullera nakhonratchasimensis -I97.31 Q667"
"98-SSU::IP4HKJN02HAVFQ rank=0065864 x=2877.0 y=532.5 length=675","Trichosporon cutaneum -I97.31 Q667"
"98-SSU::IP4HKJN02HAVFQ rank=0065864 x=2877.0 y=532.5 length=675","Bullera nakhonratchasimensis -I97.31 Q667"
"98-SSU::IP4HKJN02IL6MT rank=0361357 x=3416.0 y=131.5 length=670","Trichosporon sp -I98.26 Q662"
"98-SSU::IP4HKJN02IL6MT rank=0361357 x=3416.0 y=131.5 length=670","Trichosporon porosum -I98.26 Q662"
"98-SSU::IP4HKJN02IL6MT rank=0361357 x=3416.0 y=131.5 length=670","Bullera nakhonratchasimensis -I97.22 Q662"
"98-SSU::IP4HKJN02IL6MT rank=0361357 x=3416.0 y=131.5 length=670","Trichosporon cutaneum -I97.22 Q662"
"98-SSU::IP4HKJN02IL6MT rank=0361357 x=3416.0 y=131.5 length=670","Bullera nakhonratchasimensis -I97.22 Q662"
"98-SSU::IP4HKJN02JM8ES rank=0728951 x=3838.0 y=194.0 length=655","Trichosporon sp -I98.63 Q647"
"98-SSU::IP4HKJN02JM8ES rank=0728951 x=3838.0 y=194.0 length=655","Trichosporon porosum -I98.63 Q647"
"98-SSU::IP4HKJN02JM8ES rank=0728951 x=3838.0 y=194.0 length=655","Bullera nakhonratchasimensis -I97.81 Q647"
"98-SSU::IP4HKJN02JM8ES rank=0728951 x=3838.0 y=194.0 length=655","Trichosporon cutaneum -I97.81 Q647"
"98-SSU::IP4HKJN02JM8ES rank=0728951 x=3838.0 y=194.0 length=655","Bullera nakhonratchasimensis -I97.81 Q647"
"98-SSU::IP4HKJN02J268J rank=0351021 x=4019.0 y=3793.5 length=651","Trichosporon sp -I98.70 Q643"
"98-SSU::IP4HKJN02J268J rank=0351021 x=4019.0 y=3793.5 length=651","Trichosporon porosum -I98.70 Q643"
"98-SSU::IP4HKJN02J268J rank=0351021 x=4019.0 y=3793.5 length=651","Bullera nakhonratchasimensis -I97.93 Q643"
"98-SSU::IP4HKJN02J268J rank=0351021 x=4019.0 y=3793.5 length=651","Bullera nakhonratchasimensis -I97.93 Q643"
"98-SSU::IP4HKJN02J268J rank=0351021 x=4019.0 y=3793.5 length=651","Papiliotrema bandonii -I97.67 Q643"
"62-SSU::IP4HKJN02GAO4Q rank=0509687 x=2465.5 y=296.0 length=648","Hypocrea rufa -I100.00 Q640"
"62-SSU::IP4HKJN02GAO4Q rank=0509687 x=2465.5 y=296.0 length=648","Hypocrea koningii -I100.00 Q640"
"62-SSU::IP4HKJN02GAO4Q rank=0509687 x=2465.5 y=296.0 length=648","Hypocrea koningii -I100.00 Q640"
"62-SSU::IP4HKJN02GAO4Q rank=0509687 x=2465.5 y=296.0 length=648","Hypocrea koningii -I100.00 Q640"
"62-SSU::IP4HKJN02GAO4Q rank=0509687 x=2465.5 y=296.0 length=648","Hypocrea pseudokoningii -I100.00 Q640"
"65-SSU::IP4HKJN02IIP49 rank=0062942 x=3376.5 y=2635.0 length=655","Umbelopsis sp -I97.94 Q636"
"65-SSU::IP4HKJN02IIP49 rank=0062942 x=3376.5 y=2635.0 length=655","Umbelopsis isabellina -I97.94 Q636"
"65-SSU::IP4HKJN02IIP49 rank=0062942 x=3376.5 y=2635.0 length=655","Umbelopsis sp -I97.64 Q636"
"65-SSU::IP4HKJN02IIP49 rank=0062942 x=3376.5 y=2635.0 length=655","Umbelopsis ramanniana -I90.86 Q636"
"65-SSU::IP4HKJN02IIP49 rank=0062942 x=3376.5 y=2635.0 length=655","Umbelopsis ramanniana -I90.86 Q636"
"98-SSU::IP4HKJN02IAFF8 rank=0379767 x=3282.0 y=550.0 length=655","Trichosporon sp -I98.21 Q635"
"98-SSU::IP4HKJN02IAFF8 rank=0379767 x=3282.0 y=550.0 length=655","Trichosporon porosum -I98.21 Q635"
"98-SSU::IP4HKJN02IAFF8 rank=0379767 x=3282.0 y=550.0 length=655","Bullera nakhonratchasimensis -I97.13 Q635"
"98-SSU::IP4HKJN02IAFF8 rank=0379767 x=3282.0 y=550.0 length=655","Trichosporon cutaneum -I97.13 Q635"
"98-SSU::IP4HKJN02IAFF8 rank=0379767 x=3282.0 y=550.0 length=655","Bullera nakhonratchasimensis -I97.13 Q635"
"4-SSU::IQMTTU204IQVO0 rank=0059327 x=3469.5 y=2146.0 length=658","Papiliotrema bandonii -I99.38 Q634"
"4-SSU::IQMTTU204IQVO0 rank=0059327 x=3469.5 y=2146.0 length=658","Cryptococcus aureus -I97.83 Q634"
"4-SSU::IQMTTU204IQVO0 rank=0059327 x=3469.5 y=2146.0 length=658","Bullera unica -I97.52 Q634"
"4-SSU::IQMTTU204IQVO0 rank=0059327 x=3469.5 y=2146.0 length=658","Bullera nakhonratchasimensis -I97.21 Q634"
"4-SSU::IQMTTU204IQVO0 rank=0059327 x=3469.5 y=2146.0 length=658","Bullera nakhonratchasimensis -I97.21 Q634"
"106-SSU::IP4HKJN02F2NH8 rank=0168943 x=2373.0 y=1774.5 length=638","Trichosporon sp -I98.20 Q630"
"106-SSU::IP4HKJN02F2NH8 rank=0168943 x=2373.0 y=1774.5 length=638","Trichosporon porosum -I98.20 Q630"
"106-SSU::IP4HKJN02F2NH8 rank=0168943 x=2373.0 y=1774.5 length=638","Bullera nakhonratchasimensis -I97.31 Q630"
"106-SSU::IP4HKJN02F2NH8 rank=0168943 x=2373.0 y=1774.5 length=638","Trichosporon cutaneum -I97.31 Q630"
"106-SSU::IP4HKJN02F2NH8 rank=0168943 x=2373.0 y=1774.5 length=638","Bullera nakhonratchasimensis -I97.31 Q630"
"106-SSU::IP4HKJN02IK5HB rank=0089554 x=3404.5 y=1133.0 length=635","Trichosporon sp -I98.20 Q627"
"106-SSU::IP4HKJN02IK5HB rank=0089554 x=3404.5 y=1133.0 length=635","Trichosporon porosum -I98.20 Q627"
"106-SSU::IP4HKJN02IK5HB rank=0089554 x=3404.5 y=1133.0 length=635","Bullera nakhonratchasimensis -I97.43 Q627"
"106-SSU::IP4HKJN02IK5HB rank=0089554 x=3404.5 y=1133.0 length=635","Bullera nakhonratchasimensis -I97.43 Q627"
"106-SSU::IP4HKJN02IK5HB rank=0089554 x=3404.5 y=1133.0 length=635","Papiliotrema bandonii -I97.15 Q627"
"106-SSU::IP4HKJN02IVM12 rank=0283373 x=3523.0 y=3048.5 length=634","Trichosporon sp -I98.31 Q626"
"106-SSU::IP4HKJN02IVM12 rank=0283373 x=3523.0 y=3048.5 length=634","Trichosporon porosum -I98.31 Q626"
"106-SSU::IP4HKJN02IVM12 rank=0283373 x=3523.0 y=3048.5 length=634","Bullera nakhonratchasimensis -I97.30 Q626"
"106-SSU::IP4HKJN02IVM12 rank=0283373 x=3523.0 y=3048.5 length=634","Trichosporon cutaneum -I97.30 Q626"
"106-SSU::IP4HKJN02IVM12 rank=0283373 x=3523.0 y=3048.5 length=634","Bullera nakhonratchasimensis -I97.30 Q626"
"106-SSU::IP4HKJN02ILBDF rank=0517975 x=3406.0 y=577.5 length=633","Trichosporon sp -I97.60 Q625"
"106-SSU::IP4HKJN02ILBDF rank=0517975 x=3406.0 y=577.5 length=633","Trichosporon porosum -I97.60 Q625"
"106-SSU::IP4HKJN02ILBDF rank=0517975 x=3406.0 y=577.5 length=633","Bullera unica -I97.01 Q625"
"106-SSU::IP4HKJN02ILBDF rank=0517975 x=3406.0 y=577.5 length=633","Papiliotrema bandonii -I97.01 Q625"
"106-SSU::IP4HKJN02ILBDF rank=0517975 x=3406.0 y=577.5 length=633","Cryptococcus aureus -I96.71 Q625"
"98-SSU::IP4HKJN02G05HD rank=0109134 x=2766.5 y=1647.0 length=628","Trichosporon sp -I98.70 Q620"
"98-SSU::IP4HKJN02G05HD rank=0109134 x=2766.5 y=1647.0 length=628","Trichosporon porosum -I98.70 Q620"
"98-SSU::IP4HKJN02G05HD rank=0109134 x=2766.5 y=1647.0 length=628","Bullera nakhonratchasimensis -I97.92 Q620"
"98-SSU::IP4HKJN02G05HD rank=0109134 x=2766.5 y=1647.0 length=628","Bullera nakhonratchasimensis -I97.92 Q620"
"98-SSU::IP4HKJN02G05HD rank=0109134 x=2766.5 y=1647.0 length=628","Papiliotrema bandonii -I97.66 Q620"
"85-SSU::IQMTTU204JYIJ8 rank=0297516 x=3966.5 y=2278.5 length=627","Hypocrea rufa -I99.68 Q619"
"85-SSU::IQMTTU204JYIJ8 rank=0297516 x=3966.5 y=2278.5 length=627","Hypocrea koningii -I99.68 Q619"
"85-SSU::IQMTTU204JYIJ8 rank=0297516 x=3966.5 y=2278.5 length=627","Hypocrea koningii -I99.68 Q619"
"85-SSU::IQMTTU204JYIJ8 rank=0297516 x=3966.5 y=2278.5 length=627","Hypocrea koningii -I99.68 Q619"
"85-SSU::IQMTTU204JYIJ8 rank=0297516 x=3966.5 y=2278.5 length=627","Hypocrea pseudokoningii -I99.68 Q619"
"98-SSU::IP4HKJN02GSFIK rank=0316682 x=2667.5 y=250.0 length=627","Trichosporon sp -I98.77 Q619"
"98-SSU::IP4HKJN02GSFIK rank=0316682 x=2667.5 y=250.0 length=627","Trichosporon porosum -I98.77 Q619"
"98-SSU::IP4HKJN02GSFIK rank=0316682 x=2667.5 y=250.0 length=627","Bullera nakhonratchasimensis -I98.03 Q619"
"98-SSU::IP4HKJN02GSFIK rank=0316682 x=2667.5 y=250.0 length=627","Bullera nakhonratchasimensis -I98.03 Q619"
"98-SSU::IP4HKJN02GSFIK rank=0316682 x=2667.5 y=250.0 length=627","Papiliotrema bandonii -I97.54 Q619"
"67-SSU::IP4HKJN02IIUQX rank=0123116 x=3378.0 y=407.0 length=625","Trichosporon sp -I98.33 Q617"
"67-SSU::IP4HKJN02IIUQX rank=0123116 x=3378.0 y=407.0 length=625","Trichosporon porosum -I98.33 Q617"
"67-SSU::IP4HKJN02IIUQX rank=0123116 x=3378.0 y=407.0 length=625","Bullera nakhonratchasimensis -I96.18 Q617"
"67-SSU::IP4HKJN02IIUQX rank=0123116 x=3378.0 y=407.0 length=625","Bullera nakhonratchasimensis -I96.18 Q617"
"67-SSU::IP4HKJN02IIUQX rank=0123116 x=3378.0 y=407.0 length=625","Trichosporon cutaneum -I98.67 Q617"
"98-SSU::IP4HKJN02I0SB6 rank=0418876 x=3582.0 y=1508.0 length=624","Trichosporon sp -I98.45 Q616"
"98-SSU::IP4HKJN02I0SB6 rank=0418876 x=3582.0 y=1508.0 length=624","Trichosporon porosum -I98.45 Q616"
"98-SSU::IP4HKJN02I0SB6 rank=0418876 x=3582.0 y=1508.0 length=624","Bullera nakhonratchasimensis -I97.67 Q616"
"98-SSU::IP4HKJN02I0SB6 rank=0418876 x=3582.0 y=1508.0 length=624","Bullera nakhonratchasimensis -I97.67 Q616"
"98-SSU::IP4HKJN02I0SB6 rank=0418876 x=3582.0 y=1508.0 length=624","Papiliotrema bandonii -I97.41 Q616"
"53-SSU::IP4HKJN02GII2U rank=0170085 x=2554.5 y=1156.0 length=624","Penicillium janthinellum -I100.00 Q616"
"53-SSU::IP4HKJN02GII2U rank=0170085 x=2554.5 y=1156.0 length=624","Penicillium sp -I100.00 Q616"
"53-SSU::IP4HKJN02GII2U rank=0170085 x=2554.5 y=1156.0 length=624","Eupenicillium javanicum -I100.00 Q616"
"53-SSU::IP4HKJN02GII2U rank=0170085 x=2554.5 y=1156.0 length=624","Aspergillus candidus -I100.00 Q616"
"53-SSU::IP4HKJN02GII2U rank=0170085 x=2554.5 y=1156.0 length=624","Aspergillus flavus -I100.00 Q616"
"106-SSU::IP4HKJN02G5FC0 rank=0312708 x=2815.0 y=370.5 length=622","Trichosporon sp -I98.26 Q614"
"106-SSU::IP4HKJN02G5FC0 rank=0312708 x=2815.0 y=370.5 length=622","Trichosporon porosum -I98.26 Q614"
"106-SSU::IP4HKJN02G5FC0 rank=0312708 x=2815.0 y=370.5 length=622","Bullera nakhonratchasimensis -I97.51 Q614"
"106-SSU::IP4HKJN02G5FC0 rank=0312708 x=2815.0 y=370.5 length=622","Bullera nakhonratchasimensis -I97.51 Q614"
"106-SSU::IP4HKJN02G5FC0 rank=0312708 x=2815.0 y=370.5 length=622","Papiliotrema bandonii -I97.01 Q614"
"106-SSU::IP4HKJN02H67WC rank=0254074 x=3245.5 y=2346.0 length=622","Trichosporon sp -I98.33 Q614"
"106-SSU::IP4HKJN02H67WC rank=0254074 x=3245.5 y=2346.0 length=622","Trichosporon porosum -I98.33 Q614"
"106-SSU::IP4HKJN02H67WC rank=0254074 x=3245.5 y=2346.0 length=622","Bullera nakhonratchasimensis -I97.61 Q614"
"106-SSU::IP4HKJN02H67WC rank=0254074 x=3245.5 y=2346.0 length=622","Bullera nakhonratchasimensis -I97.61 Q614"
"106-SSU::IP4HKJN02H67WC rank=0254074 x=3245.5 y=2346.0 length=622","Papiliotrema bandonii -I97.13 Q614"
"3-SSU::IQMTTU204IEDKI rank=0122137 x=3327.0 y=416.5 length=620","Hypocrea rufa -I99.75 Q612"
"3-SSU::IQMTTU204IEDKI rank=0122137 x=3327.0 y=416.5 length=620","Hypocrea koningii -I99.75 Q612"
"3-SSU::IQMTTU204IEDKI rank=0122137 x=3327.0 y=416.5 length=620","Hypocrea koningii -I99.75 Q612"
"3-SSU::IQMTTU204IEDKI rank=0122137 x=3327.0 y=416.5 length=620","Hypocrea koningii -I99.75 Q612"
"3-SSU::IQMTTU204IEDKI rank=0122137 x=3327.0 y=416.5 length=620","Hypocrea pseudokoningii -I99.75 Q612"
"71-SSU::IQMTTU204JLTEA rank=0166261 x=3821.5 y=3712.5 length=620","Hypocrea rufa -I99.51 Q612"
"71-SSU::IQMTTU204JLTEA rank=0166261 x=3821.5 y=3712.5 length=620","Hypocrea koningii -I99.51 Q612"
"71-SSU::IQMTTU204JLTEA rank=0166261 x=3821.5 y=3712.5 length=620","Hypocrea koningii -I99.51 Q612"
"71-SSU::IQMTTU204JLTEA rank=0166261 x=3821.5 y=3712.5 length=620","Hypocrea koningii -I99.51 Q612"
"71-SSU::IQMTTU204JLTEA rank=0166261 x=3821.5 y=3712.5 length=620","Hypocrea pseudokoningii -I99.51 Q612"
"62-SSU::IP4HKJN02JIOMO rank=0417890 x=3786.0 y=926.0 length=620","Hypocrea rufa -I100.00 Q612"
"62-SSU::IP4HKJN02JIOMO rank=0417890 x=3786.0 y=926.0 length=620","Hypocrea koningii -I100.00 Q612"
"62-SSU::IP4HKJN02JIOMO rank=0417890 x=3786.0 y=926.0 length=620","Hypocrea koningii -I100.00 Q612"
"62-SSU::IP4HKJN02JIOMO rank=0417890 x=3786.0 y=926.0 length=620","Hypocrea koningii -I100.00 Q612"
